time_chunk,count,mean,std,min,max,median,q25,q75,time_label,iqr,temp_change,temp_change_abs,mean_smooth,range
0,15607,28.1487,2.6856,11.5082,38.7399,28.3232,26.5633,29.9444,00:00,3.3811,,,,27.231699999999996
1,15595,28.1112,2.6929,11.4549,38.5753,28.2732,26.5268,29.9211,00:15,3.3942999999999977,-0.03750000000000142,0.03750000000000142,28.11766666666667,27.120399999999997
2,15606,28.0931,2.6815,12.9684,38.5296,28.2636,26.4959,29.9231,00:30,3.4272000000000027,-0.01810000000000045,0.01810000000000045,28.086866666666666,25.5612
3,15596,28.0563,2.6872,12.2548,38.3489,28.2262,26.4459,29.9199,00:45,3.4739999999999966,-0.0367999999999995,0.0367999999999995,28.061233333333334,26.0941
4,15570,28.0343,2.685,11.8058,38.3046,28.1877,26.4157,29.9124,01:00,3.4967000000000006,-0.021999999999998465,0.021999999999998465,28.032966666666667,26.498800000000003
5,15591,28.0083,2.6767,11.5736,38.3667,28.1834,26.3844,29.9061,01:15,3.521699999999999,-0.026000000000003354,0.026000000000003354,28.00423333333333,26.793100000000003
6,15571,27.9701,2.6802,12.5218,38.3069,28.1215,26.371,29.8827,01:30,3.511700000000001,-0.03819999999999979,0.03819999999999979,27.976133333333333,25.7851
7,15582,27.95,2.6803,13.1745,38.2929,28.1124,26.3705,29.8873,01:45,3.5168,-0.02009999999999934,0.02009999999999934,27.94053333333333,25.1184
8,15550,27.9015,2.7103,11.6177,37.9431,28.0659,26.3246,29.8767,02:00,3.5520999999999994,-0.048500000000000654,0.048500000000000654,27.907866666666663,26.325400000000002
9,15523,27.8721,2.7189,11.4183,37.8917,28.0415,26.2827,29.8701,02:15,3.5874000000000024,-0.029399999999998983,0.029399999999998983,27.867199999999997,26.473399999999998
10,15622,27.828,2.7291,13.112,37.7036,28.0437,26.1895,29.8382,02:30,3.6487000000000016,-0.04410000000000025,0.04410000000000025,27.8378,24.5916
11,15526,27.8133,2.7243,13.4191,37.5431,28.0481,26.1841,29.8328,02:45,3.648699999999998,-0.014699999999997715,0.014699999999997715,27.801599999999997,24.124000000000002
12,15639,27.7635,2.7426,12.7821,37.4121,28.0018,26.1368,29.7825,03:00,3.645699999999998,-0.04980000000000118,0.04980000000000118,27.767366666666664,24.630000000000003
13,15605,27.7253,2.7604,13.227,37.3547,27.9636,26.0908,29.7894,03:15,3.698599999999999,-0.03819999999999979,0.03819999999999979,27.73156666666667,24.1277
14,15625,27.7059,2.7571,13.4587,37.2644,27.9571,26.0566,29.7483,03:30,3.691700000000001,-0.019400000000000972,0.019400000000000972,27.69843333333333,23.8057
15,15648,27.6641,2.765,13.3633,37.3019,27.9448,25.9891,29.7378,03:45,3.7486999999999995,-0.041799999999998505,0.041799999999998505,27.6631,23.9386
16,15597,27.6193,2.7841,12.7711,37.1191,27.9245,25.8876,29.7319,04:00,3.8443000000000005,-0.04480000000000217,0.04480000000000217,27.62676666666667,24.348000000000003
17,15675,27.5969,2.7439,12.7234,37.1386,27.8978,25.6949,29.7006,04:15,4.005700000000001,-0.022399999999997533,0.022399999999997533,27.61063333333333,24.4152
18,15627,27.6157,2.7016,12.5341,36.9652,27.8873,25.8122,29.685,04:30,3.872799999999998,0.018799999999998818,0.018799999999998818,27.607366666666667,24.4311
19,15614,27.6095,2.6868,11.5478,36.891,27.8666,25.9647,29.6632,04:45,3.6984999999999992,-0.006199999999999761,0.006199999999999761,27.606733333333334,25.343199999999996
20,15637,27.595,2.6723,10.6944,36.7379,27.8186,26.0236,29.626,05:00,3.602400000000003,-0.014500000000001734,0.014500000000001734,27.601266666666664,26.0435
21,15622,27.5993,2.6742,8.7987,36.5631,27.8175,26.082,29.6314,05:15,3.5493999999999986,0.004300000000000637,0.004300000000000637,27.58706666666667,27.7644
22,15666,27.5669,2.6894,9.5134,36.6547,27.7955,26.0136,29.5988,05:30,3.5852000000000004,-0.032399999999999096,0.032399999999999096,27.5712,27.141299999999998
23,15579,27.5474,2.6649,10.341,36.6275,27.7698,26.0549,29.5364,05:45,3.4815000000000005,-0.01950000000000074,0.01950000000000074,27.544333333333338,26.286499999999997
24,15614,27.5187,2.6238,11.3344,36.4057,27.7413,26.1307,29.4154,06:00,3.284700000000001,-0.028700000000000614,0.028700000000000614,27.494199999999996,25.0713
25,15625,27.4165,2.592,9.778,36.3245,27.5094,26.0821,29.2646,06:15,3.182500000000001,-0.10219999999999985,0.10219999999999985,27.4301,26.5465
26,15561,27.3551,2.582,8.8427,36.4851,27.4301,25.9248,29.1637,06:30,3.2388999999999974,-0.06139999999999901,0.06139999999999901,27.376133333333332,27.642400000000002
27,15636,27.3568,2.5827,6.0569,36.0718,27.5026,25.8797,29.1409,06:45,3.2611999999999988,0.0016999999999995907,0.0016999999999995907,27.36093333333333,30.014900000000004
28,15591,27.3709,2.5796,7.274,36.0947,27.5562,25.9266,29.1463,07:00,3.2196999999999996,0.014099999999999113,0.014099999999999113,27.371966666666665,28.820700000000002
29,15633,27.3882,2.5616,6.6034,36.133,27.5861,25.9152,29.1498,07:15,3.2346000000000004,0.017300000000002314,0.017300000000002314,27.399066666666666,29.529600000000002
30,15613,27.4381,2.5052,9.6576,36.0373,27.6194,26.0208,29.1678,07:30,3.1469999999999985,0.04989999999999739,0.04989999999999739,27.43313333333333,26.3797
31,15620,27.4731,2.458,14.1267,35.8593,27.6317,26.0734,29.1741,07:45,3.1007,0.03500000000000014,0.03500000000000014,27.4714,21.732599999999998
32,15594,27.503,2.4218,15.0752,35.9903,27.6574,26.1068,29.171,08:00,3.0641999999999996,0.02990000000000137,0.02990000000000137,27.499633333333332,20.915099999999995
33,15613,27.5228,2.4128,14.9872,35.8503,27.6462,26.1297,29.1918,08:15,3.062100000000001,0.01980000000000004,0.01980000000000004,27.510266666666666,20.863099999999996
34,15673,27.505,2.4421,14.9844,35.8939,27.635,26.0921,29.2095,08:30,3.1174,-0.017800000000001148,0.017800000000001148,27.508866666666666,20.9095
35,15656,27.4988,2.4463,14.207,35.8461,27.6018,26.0736,29.2268,08:45,3.153200000000002,-0.006199999999999761,0.006199999999999761,27.493133333333333,21.6391
36,15654,27.4756,2.4537,15.1821,35.8113,27.5796,26.0125,29.2176,09:00,3.2051000000000016,-0.02319999999999922,0.02319999999999922,27.476633333333336,20.629200000000004
37,15653,27.4555,2.4553,15.0396,36.0056,27.5329,25.9545,29.2022,09:15,3.247700000000002,-0.02009999999999934,0.02009999999999934,27.462766666666667,20.966
38,15644,27.4572,2.4631,14.1638,36.1992,27.5287,25.9561,29.2042,09:30,3.248100000000001,0.0016999999999995907,0.0016999999999995907,27.4492,22.035399999999996
39,15599,27.4349,2.5134,13.8057,36.5252,27.4664,25.9221,29.2255,09:45,3.3034,-0.02230000000000132,0.02230000000000132,27.4341,22.719499999999996
40,15598,27.4102,2.5241,15.3006,36.7599,27.4324,25.8366,29.2126,10:00,3.3759999999999977,-0.024699999999999278,0.024699999999999278,27.413366666666665,21.459300000000002
41,15669,27.395,2.5662,11.4015,36.4468,27.4014,25.7867,29.2157,10:15,3.4289999999999985,-0.015200000000000102,0.015200000000000102,27.3993,25.045300000000005
42,15599,27.3927,2.5728,13.9787,36.6568,27.3577,25.7609,29.2575,10:30,3.496600000000001,-0.0022999999999981924,0.0022999999999981924,27.3963,22.678099999999997
43,15581,27.4012,2.5862,14.5181,36.81,27.3432,25.7435,29.3067,10:45,3.5631999999999984,0.008499999999997954,0.008499999999997954,27.408533333333335,22.291900000000002
44,15606,27.4317,2.5901,14.502,36.9299,27.3489,25.7741,29.3382,11:00,3.5641,0.03049999999999997,0.03049999999999997,27.424733333333332,22.4279
45,15581,27.4413,2.6123,12.27,37.0573,27.3818,25.7651,29.3774,11:15,3.612300000000001,0.009599999999998943,0.009599999999998943,27.454966666666664,24.7873
